trade_id,signal_id,setup_id,code,name,signal_date,pullback_date,trigger_date,entry_date,entry_price,entry_adjusted_price,entry_adj_factor,entry_adj_offset,stop_price,stop_adjusted_price,target_price,target_adjusted_price,exit_date,exit_price,exit_adjusted_price,exit_adj_factor,exit_adj_offset,exit_reason,gross_return,net_return,r_multiple,holding_days,round_trip_cost,status,invalid_reason,original_trade_id,audit_category,original_status,original_invalid_reason
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-06:2015-11-09:triggered,STOCK_RS_PULLBACK_v1,000034.SZ,神州数码,2015-11-09,2015-11-06,2015-11-09,2015-11-10,17.4,10.92,0.7150374174438137,-1.5230738294631525,16.604828698207413,10.35,18.996311938501435,12.06,2015-11-11,19.58,12.476398305084745,0.7132312739201746,-1.4886700382722733,target_2r,0.14252731731545287,0.14052731731545287,2.730523342253937,2,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:invalid,invalid_trade,invalid_trade,invalid_limit_up_cannot_buy
STOCK_RS_PULLBACK_v1:000060.SZ:2007-02-15:2007-02-16,STOCK_RS_PULLBACK_v1:000060.SZ:2007-02-13:2007-02-15:triggered,STOCK_RS_PULLBACK_v1,000060.SZ,中金岭南,2007-02-15,2007-02-13,2007-02-15,2007-02-16,24.22,3.96,0.21966794380587484,-1.3599872286079187,22.351860465116278,3.55,27.951220930232562,4.78,2007-03-08,25.3,4.200104276756147,0.21947438878320275,-1.3525977594588818,max_holding_exit,0.06063239312023927,0.05863239312023927,0.5856201872101154,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000060.SZ:2007-02-15:2007-02-16,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:000519.SZ:2019-08-30:2019-09-02,STOCK_RS_PULLBACK_v1:000519.SZ:2019-08-29:2019-08-30:triggered,STOCK_RS_PULLBACK_v1,000519.SZ,中兵红箭,2019-08-30,2019-08-29,2019-08-30,2019-09-02,9.86,9.63,0.9999999999999997,-0.22999999999999687,9.280000000000001,9.05,11.020000000000001,10.790000000000001,2019-09-16,9.9,9.67,0.9999999999999971,-0.229999999999972,max_holding_exit,0.004153686396676903,0.0021536863966769033,0.06896551724137784,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000519.SZ:2019-08-30:2019-09-02,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:000528.SZ:2024-06-12:2024-06-13,STOCK_RS_PULLBACK_v1:000528.SZ:2024-06-11:2024-06-12:triggered,STOCK_RS_PULLBACK_v1,000528.SZ,柳,2024-06-12,2024-06-11,2024-06-12,2024-06-13,11.44,10.64,1.000000000000001,-0.8000000000000114,10.93,10.13,12.459999999999997,11.66,2024-06-18,10.93,10.13,1.0000000000000002,-0.8000000000000007,stop_loss,-0.047932330827067604,-0.049932330827067606,-1.0,4,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000528.SZ:2024-06-12:2024-06-13,stop_loss,valid_trade,
STOCK_RS_PULLBACK_v1:000723.SZ:2020-01-14:2020-01-15,STOCK_RS_PULLBACK_v1:000723.SZ:2020-01-13:2020-01-14:triggered,STOCK_RS_PULLBACK_v1,000723.SZ,美锦能源,2020-01-14,2020-01-13,2020-01-14,2020-01-15,9.39,9.19,0.9999999999999962,-0.19999999999996554,9.200000000000001,9.0,9.770000000000001,9.569999999999999,2020-01-16,9.15,8.949999999999998,1.0000000000000064,-0.20000000000006146,stop_loss,-0.02611534276387395,-0.02811534276387395,-1.2631578947368558,2,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000723.SZ:2020-01-14:2020-01-15,stop_loss,valid_trade,
STOCK_RS_PULLBACK_v1:000960.SZ:2007-08-22:2007-08-23,STOCK_RS_PULLBACK_v1:000960.SZ:2007-08-20:2007-08-22:triggered,STOCK_RS_PULLBACK_v1,000960.SZ,锡业股份,2007-08-22,2007-08-20,2007-08-22,2007-08-23,56.13,34.32,0.6114907275220254,-0.003394632087470484,47.51240423517459,29.05,73.36725254018104,44.86,2007-08-29,59.25,36.22871985239203,0.6111408865263803,0.01862232570400124,time_stop_no_upside_progress,0.05561538031445323,0.05361538031445323,0.36218593024516743,5,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000960.SZ:2007-08-22:2007-08-23,time_stop_no_upside_progress,valid_trade,
STOCK_RS_PULLBACK_v1:000960.SZ:2010-01-11:2010-01-12,STOCK_RS_PULLBACK_v1:000960.SZ:2010-01-08:2010-01-11:triggered,STOCK_RS_PULLBACK_v1,000960.SZ,锡业股份,2010-01-11,2010-01-08,2010-01-11,2010-01-12,36.1,26.57,0.7286852172090323,0.2642524760258489,32.998813419150686,24.31,42.30324260184821,31.090000000000003,2010-01-13,33.012714829586656,24.31,0.7329989036909079,0.11171622205240084,stop_loss,-0.08505833646970273,-0.08705833646970274,-1.0,2,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:000960.SZ:2010-01-11:2010-01-12,stop_loss,valid_trade,
STOCK_RS_PULLBACK_v1:002052.SZ:2015-02-09:2015-02-10,STOCK_RS_PULLBACK_v1:002052.SZ:2015-02-04:2015-02-09:triggered,STOCK_RS_PULLBACK_v1,002052.SZ,同洲电子,2015-02-09,2015-02-04,2015-02-09,2015-02-10,11.86,11.86,1.0,0.0,11.33,11.33,12.919999999999998,12.919999999999998,2015-03-02,12.5,12.5,1.0,0.0,max_holding_exit,0.053962900505902134,0.05196290050590213,1.2075471698113234,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002052.SZ:2015-02-09:2015-02-10,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:002142.SZ:2025-01-23:2025-01-24,STOCK_RS_PULLBACK_v1:002142.SZ:2025-01-22:2025-01-23:triggered,STOCK_RS_PULLBACK_v1,002142.SZ,宁波银行,2025-01-23,2025-01-22,2025-01-23,2025-01-24,25.8,23.7,1.0000000000000029,-2.100000000000076,25.310000000000002,23.21,26.779999999999994,24.679999999999996,2025-02-06,25.31,23.21,1.0000000000000027,-2.1000000000000654,stop_loss,-0.020675105485231993,-0.022675105485231994,-1.0,4,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002142.SZ:2025-01-23:2025-01-24,stop_loss,valid_trade,
STOCK_RS_PULLBACK_v1:002153.SZ:2017-11-28:2017-11-29,STOCK_RS_PULLBACK_v1:002153.SZ:2017-11-27:2017-11-28:triggered,STOCK_RS_PULLBACK_v1,002153.SZ,石基信息,2017-11-28,2017-11-27,2017-11-28,2017-11-29,29.88,11.57,0.39278131634819613,-0.16738853503187023,27.133135135135138,10.49,35.38199999999999,13.73,2017-12-05,27.129000603037113,10.49,0.3921614997635125,-0.14894956357226974,stop_loss,-0.09334485738980125,-0.09534485738980125,-1.0,5,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002153.SZ:2017-11-28:2017-11-29,stop_loss,valid_trade,
